qid,oracle1Summary,oracle1SU4,oracle2Summary,oracle2SU4
54d4e03a3706e89528000001,"Antiarrhythmic agents are traditionally classified according to Vaughan Williams into four classes of action. Class I antiarrhythmic agents include most of the drugs traditionally thought of as antiarrhythmics, and have as a common action, blockade of the fast-inward sodium channel on myocardium.  Antiarrhythmic drugs can be divided into four Vaughan Williams classes (I-IV) according to defined electrophysiological effects on the myocardium Antiarrhythmic agents are traditionally classified according to Vaughan Williams into four classes of action. Class I antiarrhythmic agents include most of the drugs traditionally thought of as antiarrhythmics, and have as a common action, blockade of the fast-inward sodium channel on myocardium.",0.33404,"Class II agents are antisympathetic drugs, particularly the beta-adrenoceptor blockers Class IV antiarrhythmic drugs are the calcium channel blockers verapamil and diltiazem.  Antiarrhythmic drugs can be divided into four Vaughan Williams classes (I-IV) according to defined electrophysiological effects on the myocardium.",0.51761
55072c803b8a5dc045000001,"Notch signaling is an evolutionarily conserved mechanism, used to regulate cell fate decisions. Four Notch receptors have been identified in man (Notch-1 to -4). All 4 receptors were expressed in the adult liver, with no significant differences in the levels of Notch-1, -2, and -4 messenger RNA (mRNA) between normal and diseased liver. However, Notch-3 expression appeared to be increased in diseased tissue.  There are four mammalian Notch receptors that have only partially overlapping functions despite sharing similar structures and ligands.",0.43251,"Notch signaling is an evolutionarily conserved mechanism, used to regulate cell fate decisions. Four Notch receptors have been identified in man (Notch-1 to -4). There are four different mammalian Notch receptors that can be activated by five cell surface ligands There are four mammalian Notch receptors that have only partially overlapping functions despite sharing similar structures and ligands.",0.50598
53061af558348c0f52000002,"Cellular senescence is recognized as a critical cellular response to prolonged rounds of replication and environmental stresses. Its defining characteristics are arrested cell-cycle progression and the development of aberrant gene expression with proinflammatory behavior. Recent research has shown that inserting a gene for the protein component of telomerase into senescent human cells reextends their telomeres to lengths typical of young cells, and the cells then display all the other identifiable characteristics of young, healthy cells. Our data demonstrate that Sod1 transfected cell lines that have an elevation in the ratio of Sod1 activity to Gpx1 activity produce higher levels of H2O2 and exhibit well characterised markers of cellular senescence viz. slower proliferation and altered morphology.",0.17821,Cellular senescence is recognized as a critical cellular response to prolonged rounds of replication and environmental stresses. Its defining characteristics are arrested cell-cycle progression and the development of aberrant gene expression with proinflammatory behavior. telomeres are the central timing mechanism for cellular aging Our data demonstrate that Sod1 transfected cell lines that have an elevation in the ratio of Sod1 activity to Gpx1 activity produce higher levels of H2O2 and exhibit well characterised markers of cellular senescence viz. slower proliferation and altered morphology.,0.23052
56c1f01def6e394741000045,"Orteronel for the treatment of prostate cancer. Therefore, (+)-3c (termed orteronel [TAK-700]) was selected as a candidate for clinical evaluation and is currently in phase III clinical trials for the treatment of castration-resistant prostate cancer. Orteronel is a nonsteroidal, selective inhibitor of 17,20-lyase that was recently in phase 3 clinical development as a treatment for castration-resistant prostate cancer. ",0.16256,Longer rPFS and a higher PSA50 rate with orteronel-prednisone indicate antitumor activity. Orteronel for the treatment of prostate cancer. We assessed orteronel in chemotherapy-naive patients with metastatic castration-resistant prostate cancer.,0.21239
5313b049e3eabad021000013,"Herceptin is widely used in treating Her2-overexpressing breast cancer. However, the application of Herceptin in prostate cancer is still controversial. Although HER2 can be over-expressed in prostate cancer, there is no clinical data to support the use of trastuzumab for prostate cancer patients. To investigate the efficacy and toxicity of the antibody to the HER-2/neu receptor (trastuzumab, Herceptin) in the treatment of advanced hormone-refractory prostate cancer (HRPC)",0.18505,"Herceptin is widely used in treating Her2-overexpressing breast cancer. However, the application of Herceptin in prostate cancer is still controversial. Although HER2 can be over-expressed in prostate cancer, there is no clinical data to support the use of trastuzumab for prostate cancer patients. To investigate the efficacy and toxicity of the antibody to the HER-2/neu receptor (trastuzumab, Herceptin) in the treatment of advanced hormone-refractory prostate cancer (HRPC)",0.18505
53137541e3eabad021000010,"Yamanaka factors (OCT4, SOX2, MYC, and KLF4 Yamanaka factors (Oct4, Sox2, Klf4, and c-Myc)  Yamanaka factors Oct4, Sox2, Klf4, and c-Myc",0.30337,"Yamanaka factors (OCT4, SOX2, MYC, and KLF4 Yamanaka factors (OCT4, SOX2, KLF4, cMYC - OSKM Yamanaka factors (Pou5f1, Myc, Klf4, and Sox2) ",0.3253
515aa0abd24251bc050000a8,"The Chromosome-Centric Human Proteome Project (C-HPP) is an international effort for creating an annotated proteomic catalog for each chromosome The chromosome-centric human proteome project aims to systematically map all human proteins, chromosome by chromosome, in a gene-centric manner through dedicated efforts from national and international teams The Chromosome-centric Human Proteome Project (C-HPP) aims to systematically map the entire human proteome with the intent to enhance our understanding of human biology at the cellular level.",0.76166,"The Chromosome-Centric Human Proteome Project (C-HPP) is an international effort for creating an annotated proteomic catalog for each chromosome The chromosome-centric human proteome project aims to systematically map all human proteins, chromosome by chromosome, in a gene-centric manner through dedicated efforts from national and international teams The Chromosome-centric Human Proteome Project (C-HPP) aims to systematically map the entire human proteome with the intent to enhance our understanding of human biology at the cellular level.",0.76166
56af9f130a360a5e45000015,The ATP release channel Pannexin1 (Panx1) is self-regulated The membrane protein Pannexin1 forms two open-channel conformations depending on the mode of activation.  Pannexin1 channels traffic to the plasma membrane.,0.17307,The ATP release channel Pannexin1 (Panx1) is self-regulated  Pannexin1 channels traffic to the plasma membrane. ATP release channel Pannexin1 ,0.19719
5718bbb37de986d80d00000b,"Mutations in the POLG gene have emerged as one of the most common causes of inherited mitochondrial disease in children and adults. They are responsible for a heterogeneous group of at least 6 major phenotypes of neurodegenerative disease that include: 1) childhood Myocerebrohepatopathy Spectrum disorders (MCHS), 2) Alpers syndrome, 3) Ataxia Neuropathy Spectrum (ANS) disorders, 4) Myoclonus Epilepsy Myopathy Sensory Ataxia (MEMSA), 5) autosomal recessive Progressive External Ophthalmoplegia (arPEO), and 6) autosomal dominant Progressive External Ophthalmoplegia (adPEO) Mutations in the gene encoding mitochondrial DNA polymerase gamma (POLG), the enzyme that synthesises mitochondrial DNA (mtDNA), have been associated with a mitochondrial disease-autosomal dominant or recessive progressive external ophthalmoplegia-and multiple deletions of mtDNA. About 150 mutations in the human POLG have been identified in patients with mitochondrial diseases such as Alpers syndrome, progressive external ophthalmoplegia, and ataxia-neuropathy syndromes.",0.70569,"Mutations in the POLG gene have emerged as one of the most common causes of inherited mitochondrial disease in children and adults. They are responsible for a heterogeneous group of at least 6 major phenotypes of neurodegenerative disease that include: 1) childhood Myocerebrohepatopathy Spectrum disorders (MCHS), 2) Alpers syndrome, 3) Ataxia Neuropathy Spectrum (ANS) disorders, 4) Myoclonus Epilepsy Myopathy Sensory Ataxia (MEMSA), 5) autosomal recessive Progressive External Ophthalmoplegia (arPEO), and 6) autosomal dominant Progressive External Ophthalmoplegia (adPEO) About 150 mutations in the human POLG have been identified in patients with mitochondrial diseases such as Alpers syndrome, progressive external ophthalmoplegia, and ataxia-neuropathy syndromes. Novel POLG mutations in progressive external ophthalmoplegia mimicking mitochondrial neurogastrointestinal encephalomyopathy.",0.80071
532f062ad6d3ac6a34000027,"Indeed, heart rate reduction with ivabradine, a selective and specific I(f) inhibitor, reduces myocardial oxygen demand, increases diastolic perfusion time and improves energetics in ischemic myocardium. Ivabradine protects the myocardium during ischemia, improves left ventricular function in heart failure and reduces remodeling following myocardial infarction. It improves prognosis in patients with coronary artery disease, left ventricular dysfunction and heart rate ≥70 beats per minute, as well as in patients with heart failure and left ventricular dysfunction. The beneficial effects of ivabradine may be due to the reversal of electrophysiological cardiac remodelling in post-MI rats by reduction of functional overexpression of HCN channels. This is attributable to transcriptional and post-transcriptional mechanisms. In rats with CHF, long-term HRR induced by the selective I(f) inhibitor ivabradine improves LV function and increases stroke volume, preserving cardiac output despite the HRR. The improvement of cardiac function is related not only to the HRR per se but also to modifications in the extracellular matrix and/or function of myocytes as a consequence of long-term HRR.",0.73533,"Indeed, heart rate reduction with ivabradine, a selective and specific I(f) inhibitor, reduces myocardial oxygen demand, increases diastolic perfusion time and improves energetics in ischemic myocardium. Ivabradine protects the myocardium during ischemia, improves left ventricular function in heart failure and reduces remodeling following myocardial infarction. It improves prognosis in patients with coronary artery disease, left ventricular dysfunction and heart rate ≥70 beats per minute, as well as in patients with heart failure and left ventricular dysfunction. The beneficial effects of ivabradine may be due to the reversal of electrophysiological cardiac remodelling in post-MI rats by reduction of functional overexpression of HCN channels. This is attributable to transcriptional and post-transcriptional mechanisms. In rats with CHF, long-term HRR induced by the selective I(f) inhibitor ivabradine improves LV function and increases stroke volume, preserving cardiac output despite the HRR. The improvement of cardiac function is related not only to the HRR per se but also to modifications in the extracellular matrix and/or function of myocytes as a consequence of long-term HRR.",0.73533
52bf1b0a03868f1b06000009,"Wilson's disease (WD), or hepatolenticular degeneration, is an autosomal recessive inheritance disorder of copper metabolism caused by ATP7B gene mutation.  Wilson's disease (WD) is an autosomal recessive disorder of copper accumulation leading to liver and/or brain damage.  Wilson's disease is a rare genetic disorder of copper metabolism with autosomal recessive inheritance.",0.21591," The inheritance is autosomal recessive.  Wilson's disease (WD) is an autosomal recessive disorder of copper accumulation leading to liver and/or brain damage.  Recessive inheritance is, however, supported. ",0.38776
517395b98ed59a060a00001a,"These links between chromatin configuration and splicing raise the intriguing possibility of the existence of a memory for splicing patterns to be inherited through epigenetic modifications. Recent evidence indicates that transcriptional elongation and splicing can be influenced reciprocally: Elongation rates control alternative splicing and splicing factors can, in turn, modulate pol II elongation. The presence of transcription factors in the spliceosome and the existence of proteins, such as the coactivator PGC-1, with dual activities in splicing and transcription can explain the links between both processes and add a new level of complexity to the regulation of gene expression in eukaryotes.",0.11964,"recent evidence shows that chromatin structure is another layer of regulation that may act through various mechanisms We recently showed that cotranscriptional splicing occurs efficiently in Drosophila, The presence of transcription factors in the spliceosome and the existence of proteins, such as the coactivator PGC-1, with dual activities in splicing and transcription can explain the links between both processes and add a new level of complexity to the regulation of gene expression in eukaryotes.",0.13699
52bf19c503868f1b06000001,"Facioscapulohumeral muscular dystrophy (FSHD) is a neuromuscular disease, characterized by an autosomal dominant mode of inheritance, facial involvement, and selectivity and asymmetry of muscle involvement. Facioscapulohumeral muscular dystrophy (FSHD) is a primary muscle disorder with autosomal dominant inheritance. Facioscapulohumeral dystrophy (FSHD) is an autosomal-dominant muscular disorder associated with a short (<35 kb) EcoRI/BlnI fragment resulting from deletion of an integral number of units of a 3.3-kb repeat located at 4q35.",0.12804,"Facioscapulohumeral dystrophy (FSHD) is an autosomal-dominant muscular disorder associated with a short (<35 kb) EcoRI/BlnI fragment resulting from deletion of an integral number of units of a 3.3-kb repeat located at 4q35. In 139 families, dominant inheritance was observed in 97, a pattern compatible with germline mosaicism in 6, while sporadic cases were found in 36 families.  In 139 families, dominant inheritance was observed in 97, a pattern compatible with germline mosaicism in 6, while sporadic cases were found in 36 families.",0.3
54db1d580f63c58e6e000005,"Alu and LINE-1 hypomethylation is associated with HER2 enriched subtype of breast cancer In survival analyses, low Alu methylation status tended to be associated with poor disease-free survival of the patients. Alu hypomethylation is probably a late event during breast cancer progression",0.36976,"Alu and LINE-1 hypomethylation is associated with HER2 enriched subtype of breast cancer In survival analyses, low Alu methylation status tended to be associated with poor disease-free survival of the patients. Alu hypomethylation is probably a late event during breast cancer progression",0.36976
54f9d3eedd3fc62544000004,"Calsequestrin (CSQ) is a Ca(2+) storage protein that interacts with triadin (TRN), the ryanodine receptor (RyR), and junctin (JUN) to form a macromolecular tetrameric Ca(2+) signaling complex in the cardiac junctional sarcoplasmic reticulum (SR). Junctin is a major transmembrane protein in cardiac junctional sarcoplasmic reticulum, which forms a quaternary complex with the ryanodine receptor (Ca(2+) release channel), triadin, and calsequestrin.  Junctin is a major transmembrane protein in cardiac junctional sarcoplasmic reticulum, which forms a quaternary complex with the ryanodine receptor (Ca(2+) release channel), triadin, and calsequestrin.",0.48684,"Calsequestrin (CSQ) is a Ca(2+) storage protein that interacts with triadin (TRN), the ryanodine receptor (RyR), and junctin (JUN) to form a macromolecular tetrameric Ca(2+) signaling complex in the cardiac junctional sarcoplasmic reticulum (SR). Junctin is a major transmembrane protein in cardiac junctional sarcoplasmic reticulum, which forms a quaternary complex with the ryanodine receptor (Ca(2+) release channel), triadin, and calsequestrin.  Taken together, these results suggest that junctin, calsequestrin, triadin, and the ryanodine receptor form a quaternary complex that may be required for normal operation of Ca2+ release.",0.60789
5505edac8e1671127b000005,Hydrophilic-interaction liquid chromatography (HILIC) is a widely used technique for small polar molecule analysis  hydrophilic-interaction LC (HILIC) Hydrophilic Interaction Chromatography (HILIC) ,0.1374,hydrophilic-interaction LC (HILIC) Hydrophilic Interaction Chromatography (HILIC)  n this study a hydrophilic interaction chromatographic (HILIC) method ,0.18947
5160193d298dcd4e51000039,"TRH can enhance cardiomyocyte contractility in vivo. TRH improves cardiac contractility, cardiac output, and hemodynamics Thus, TRH improves cardiac contractility, cardiac output, and hemodynamics during hemorrhagic shock.",0.06452,"TRH can enhance cardiomyocyte contractility in vivo. Thyrotropin-releasing hormone (TRH) improved mean arterial pressure (MAP) and myocardial contractility (dp/dtmax, -dp/dtmax, Vpm, and Vmax) TRH improves cardiac contractility, cardiac output, and hemodynamics",0.07106
56e2cec751531f7e33000015,"The Brg1 bromodomain conserves the left-handed, four-helix bundle topology found in other bromodomain structures. However, the alphaZ helix of Brg1 bromodomain is about 4 residues shorter relative to previously published bromodomain structures. The structure has a left-handed four-helix bundle topology, with two short additional helices in a long connecting loop. The structure reveals an unusual left-handed up-and-down four-helix bundle. ",0.34893,"The structure has a left-handed four-helix bundle topology, with two short additional helices in a long connecting loop. The structure reveals an unusual left-handed up-and-down four-helix bundle.  In addition to a typical all-alpha-helical fold that was observed in the bromodomains,",0.47058
515deafd298dcd4e51000025,"Intestinal mucosal pathology, characterized by ileo-colonic lymphoid nodular hyperplasia (LNH) and mild acute and chronic inflammation of the colorectum, small bowel and stomach, has been reported in children with autistic spectrum disorder (ASD) Intestinal pathology, i.e., ileocolonic lymphoid nodular hyperplasia (LNH) and mucosal inflammation, has been described in children with developmental disorders. Histologic examination in these 36 children revealed grade I or II reflux esophagitis in 25 (69.4%), chronic gastritis in 15, and chronic duodenitis in 24. The number of Paneth's cells in the duodenal crypts was significantly elevated in autistic children compared with non-autistic control subjects. Low intestinal carbohydrate digestive enzyme activity was reported in 21 children (58.3%), although there was no abnormality found in pancreatic function. Seventy-five percent of the autistic children (27/36) had an increased pancreatico-biliary fluid output after intravenous secretin administration. Nineteen of the 21 patients with diarrhea had significantly higher fluid output than those without diarrhea.",0.18933,"Autism and esophageal achalasia in childhood: a possible correlation? Intestinal mucosal pathology, characterized by ileo-colonic lymphoid nodular hyperplasia (LNH) and mild acute and chronic inflammation of the colorectum, small bowel and stomach, has been reported in children with autistic spectrum disorder (ASD) These data fail to support an association between autism and GI inflammation.",0.31203
532624ae600967d132000005,"Significant decreases and progressively higher reductions of systolic and diastolic blood pressure were observed after RSD. The complication rate was minimal.  Clinical trials of renal sympathetic denervation have shown significant reductions in blood pressure in these patients. Renal sympathetic denervation also reduces heart rate, which is a surrogate marker of cardiovascular risk.  Clinical evaluation of selective renal sympathetic denervation demonstrated a decrease of renal norepinephrine spillover and renin activity, an increase of renal plasma flow, and has confirmed clinically significant, sustained reductions in blood pressure in patients with resistant hypertension.",0.347,"Significant decreases and progressively higher reductions of systolic and diastolic blood pressure were observed after RSD. The complication rate was minimal.  In conclusion, the RSD presents itself as an effective and safe approach to resistant hypertension. Novel procedure- and device-based strategies to control hypertension include renal sympathetic denervation and baroreflex sensitization.",0.54187
5518e7da622b194345000004,activated c-Jun N-terminal kinase (JNK) An in vitro kinase assay revealed that the resultant c-Jun phosphorylation was primarily mediated via activated c-Jun N-terminal protein kinase (JNK). An in vitro kinase assay revealed that the resultant c-Jun phosphorylation was primarily mediated via activated c-Jun N-terminal protein kinase (JNK),0.28967, c-Jun NH2-terminal kinase (JNK) -Jun N-terminal kinase (JNK) An in vitro kinase assay revealed that the resultant c-Jun phosphorylation was primarily mediated via activated c-Jun N-terminal protein kinase (JNK).,0.44404
530a5117970c65fa6b000007,"Several approaches to studying proteolytic activity as it relates to biology, pathophysiology, and drug therapy have been published, including the recently described terminal amine isotopic labeling of substrates (TAILS) strategy by Kleifeld and colleagues  The degradomics screen terminal amine isotopic labeling of substrates (TAILS), which enriches for neo-N-terminal peptides of cleaved substrates, was used to identify 58 new native substrates in fibroblast secretomes after incubation with MT6-MMP.  Identification of proteolytic products and natural protein N-termini by Terminal Amine Isotopic Labeling of Substrates (TAILS).",0.09192,". It is important to identify what proteins are substrates of proteases and where their cleavage sites are so as to reveal the molecular mechanisms and specificity of signaling.   The degradomics screen terminal amine isotopic labeling of substrates (TAILS), which enriches for neo-N-terminal peptides of cleaved substrates, was used to identify 58 new native substrates in fibroblast secretomes after incubation with MT6-MMP.  Identification of proteolytic products and natural protein N-termini by Terminal Amine Isotopic Labeling of Substrates (TAILS).",0.09842
56bf365eef6e39474100000e,A mutation in PIK3CA or AKT1 was found in around 9 % of the cases. SMO and AKT1 mutations occur in non-NF2 meningiomas. SMO and AKT1 mutations occur in non-NF2 meningiomas,0.06122,A mutation in PIK3CA or AKT1 was found in around 9 % of the cases. SMO and AKT1 mutations occur in non-NF2 meningiomas. SMO and AKT1 mutations occur in non-NF2 meningiomas,0.06122
52bf202003868f1b06000018,"Two additional AEDs, lacosamide and eslicarbazepine acetate, have been licensed recently for a more traditional indication, refractory partial-onset seizures.   It has shown potent and broad neuroprotective effects in vitro and in vivo animal models making it a potential candidate for long term treatment of epilepsy. In addition to this, it has demonstrated analgesic activity in various animal models. Apart from this, LCM has demonstrated potent effects in animal models for a variety of CNS disorders like schizophrenia and stress induced anxiety.  Currently, LCM is in a late stage of clinical development as an adjunctive treatment for patients with uncontrolled partial-onset seizures, and it is being assessed as monotherapy in patients with painful diabetic neuropathy. ",0.46429,"Two additional AEDs, lacosamide and eslicarbazepine acetate, have been licensed recently for a more traditional indication, refractory partial-onset seizures.  Lacosamide (LCM) is a newer antiepileptic drug with a dual mode of action.  It has shown potent and broad neuroprotective effects in vitro and in vivo animal models making it a potential candidate for long term treatment of epilepsy. In addition to this, it has demonstrated analgesic activity in various animal models. Apart from this, LCM has demonstrated potent effects in animal models for a variety of CNS disorders like schizophrenia and stress induced anxiety. ",0.53027
552fac4fbc4f83e828000006,"Ewing sarcoma is the second most common bone malignancy in children and young adults. It is driven by oncogenic fusion proteins (i.e. EWS/FLI1) acting as aberrant transcription factors that upregulate and downregulate target genes, leading to cellular transformation Ewing sarcoma family of tumors (ESFT) is a group of aggressive pediatric malignancies driven by the EWS-FLI1 fusion protein, an aberrant transcription factor up-regulating specific target genes, such as neuropeptide Y (NPY) and its Y1 and Y5 receptors (Y5Rs). EWS-FLI1 is an oncogenic fusion protein implicated in the development of Ewing's sarcoma family tumors (ESFT)",0.37232,"Ewing sarcoma is the second most common bone malignancy in children and young adults. It is driven by oncogenic fusion proteins (i.e. EWS/FLI1) acting as aberrant transcription factors that upregulate and downregulate target genes, leading to cellular transformation The EWS-ETS fusion is causative in the development of Ewing's tumour. Most cases of Ewing's sarcoma express the EWS/FLI fusion protein",0.4448
56be0da3ef6e394741000007,"Hemolytic uremic syndrome (HUS) is a clinical syndrome characterized by the triad of thrombotic microangiopathy, thrombocytopenia, and acute kidney injury. Hemolytic uremic syndrome (HUS) is a disorder characterized by the presence of the classic triad: microangiopathic hemolytic anemia, thrombocytopenia and acute renal injury Hemolytic uremic syndrome (HUS) is a severe disease characterized by the clinical triad of hemolytic anemia, thrombocytopenia, and acute renal failure",0.31277,"Hemolytic uremic syndrome (HUS) is a clinical syndrome characterized by the triad of thrombotic microangiopathy, thrombocytopenia, and acute kidney injury. Hemolytic uremic syndrome consists of a triad of acquired hemolytic anemia, thrombocytopenia and renal failure. Hemolytic uremic syndrome consists of a triad of acquired hemolytic anemia, thrombocytopenia and renal failure",0.38378
5158644cd24251bc0500008e,"We conclude that strenuous physical exercise; 1) fails to affect plasma leptin level but when performed after meal but not after blood withdrawal it results in an increase and fall in plasma leptin, and 2) the release of gut hormones (gastrin, CCK and PP) and stress hormones (norepinephrine, cortisol, GH) increase immediately after exercise independently of feeding or blood donation the unrestricted exercise group has a significantly elevated SRIF-LI concentration Exercise has recently been reported to influence ghrelin and PYY concentrations.",0.0,,0
